"","prey_time","prey_pop","pred_time","pred_pop","start","end","c_prey","c_pred","window","dilution.rate","Source"
"127","657.2034","0.1618",612.9237,0.9259,NA,NA,"","",NA,NA,"Boraas 1985.csv"
"128","673.5169","0.3699",617.5847,0.8272,NA,NA,"","",NA,NA,"Boraas 1985.csv"
"129","687.5","0.7861",631.5678,0.6296,NA,NA,"","",NA,NA,"Boraas 1985.csv"
"130","694.4915","0.9133",645.5508,0.4568,NA,NA,"","",NA,NA,"Boraas 1985.csv"
"131","699.1525","0.8902",654.8729,0.4321,NA,NA,"","",NA,NA,"Boraas 1985.csv"
"132","710.8051","0.5202",666.5254,0.358,NA,NA,"","",NA,NA,"Boraas 1985.csv"
"133","720.1271","0.763",678.178,0.3951,NA,NA,"","",NA,NA,"Boraas 1985.csv"
"134","727.1186","0.6012",685.1695,0.3951,NA,NA,"","",NA,NA,"Boraas 1985.csv"
"135","743.4322","0.3468",692.161,0.4568,NA,NA,"","",NA,NA,"Boraas 1985.csv"
"136","752.7542","0.3006",701.4831,0.3827,NA,NA,"","",NA,NA,"Boraas 1985.csv"
"137","766.7373","0.1965",713.1356,0.4815,NA,NA,"","",NA,NA,"Boraas 1985.csv"
"138","771.3983","0.1734",720.1271,0.5802,NA,NA,"","",NA,NA,"Boraas 1985.csv"
"139","780.7203","0.0809",729.4492,0.6049,NA,NA,"","",NA,NA,"Boraas 1985.csv"
"140","797.0339","0.0809",741.1017,0.7284,NA,NA,"","",NA,NA,"Boraas 1985.csv"
"141","801.6949","0.1272",752.7542,0.9383,NA,NA,"","",NA,NA,"Boraas 1985.csv"
"142","820.339","0.2543",764.4068,1.1481,NA,NA,"","",NA,NA,"Boraas 1985.csv"
"143","831.9915","0.289",769.0678,1.0864,NA,NA,"","",NA,NA,"Boraas 1985.csv"
"144","857.6271","0.1503",783.0508,1.1728,NA,NA,"","",NA,NA,"Boraas 1985.csv"
"145","887.9237","0.185",790.0424,1.0864,NA,NA,"","",NA,NA,"Boraas 1985.csv"
"146","908.8983","0.0925",801.6949,1,NA,NA,"","",NA,NA,"Boraas 1985.csv"
"147","927.5424","0.104",818.0085,0.8272,NA,NA,"","",NA,NA,"Boraas 1985.csv"
"148","955.5085","0.0809",831.9915,0.7654,NA,NA,"","",NA,NA,"Boraas 1985.csv"
"149","988.1356","0.1156",855.2966,0.7037,NA,NA,"","",NA,NA,"Boraas 1985.csv"
"150","1060.3814","0.0925",887.9237,0.8025,NA,NA,"","",NA,NA,"Boraas 1985.csv"
"151","1086.0169","0.104",906.5678,0.8519,NA,NA,"","",NA,NA,"Boraas 1985.csv"
"152","1100","0.1272",929.8729,1.0123,NA,NA,"","",NA,NA,"Boraas 1985.csv"
"153","","",955.5085,0.8642,NA,NA,"","",NA,NA,"Boraas 1985.csv"
"154","","",985.8051,0.9383,NA,NA,"","",NA,NA,"Boraas 1985.csv"
