Species,Life stage,Life style,Taxonomic group,Host species,Lake,Season,Number of samples,Minimum sample size,Maximum sample size,Total sample size,Log total sample size,Body mass (mg),Log body mass,Mean density (m²),Log mean,SD,SD/Mean,Variance,Log variance
Gobiomorphus cotidianus,Ad,Free-living parasitised,Fish,,Waihola,January,4,4,16,37,1.5682017241,754.8148148,2.8778404155,0.041111111,-1.386040785,0.022185154,0.539638888,0.000492181,-3.307875094
Gobiomorphus cotidianus,Ad,Free-living parasitised,Fish,,Hayes,September,4,7,20,49,1.69019608,2504.5,3.398721036,0.054444444,-1.264046429,0.025499133,0.468351414,0.000650206,-3.186949187
Gobiomorphus cotidianus,Ad,Free-living parasitised,Fish,,Hayes,January,4,12,21,63,1.7993405495,1604.482759,3.2053350547,0.07,-1.15490196,0.017165378,0.245219687,0.00029465,-3.530693251
Gobiomorphus cotidianus,Ad,Free-living parasitised,Fish,,Waihola,September,4,1,50,63,1.7993405495,1312.941176,3.1182452687,0.07,-1.15490196,0.102278567,1.461122391,0.010460905,-1.980430727
Gobiomorphus cotidianus,Ad,Free-living parasitised,Fish,,Tomahawk,September,4,48,234,552,2.7419390777,7119.666667,3.852459661,0.613333333,-0.212303432,0.356073697,0.58055494,0.126788477,-0.896920214
Gobiomorphus cotidianus,Ad,Free-living parasitised,Fish,,Tomahawk,May,4,58,298,650,2.8129133566,4660,3.6683859167,0.722222222,-0.141329153,0.446004669,0.617544926,0.198920165,-0.70132119
Gobiomorphus cotidianus,Ad,Free-living parasitised,Fish,,Tomahawk,January,4,49,557,933,2.9698816437,7153.191489,3.8544998511,1.036666667,0.015639134,1.029016871,0.992620776,1.05887572,0.02484499
Gyraulus sp,Ad,Free-living,Mollusc,,Tuakitoto,September,24,0,1,2,0.3010299957,2.6545,0.4239827297,0.833333333,-0.079181246,2.823298513,3.387958215,7.971014493,0.901513599
Gyraulus sp,Ad,Free-living,Mollusc,,Tomahawk,May,24,0,1,3,0.4771212547,2.6545,0.4239827297,1.25,0.096910013,3.378319623,2.702655699,11.41304348,1.057401472
Gyraulus sp,Ad,Free-living,Mollusc,,Tuakitoto,May,24,0,6,13,1.1139433523,2.6545,0.4239827297,5.416666667,0.733732111,13.50657382,2.49352132,182.4275362,2.261090393
Gyraulus sp,Ad,Free-living,Mollusc,,Tuakitoto,January,24,0,10,36,1.5563025008,2.6545,0.4239827297,15,1.176091259,25.87595829,1.725063886,669.5652174,2.825792885
Gyraulus sp,Ad,Free-living,Mollusc,,Hayes,September,24,0,94,274,2.4377505628,2.6545,0.4239827297,114.1666667,2.057539321,207.9280115,1.821267254,43234.05797,4.635826001
Gyraulus sp,Ad,Free-living,Mollusc,,Hayes,May,24,1,71,616,2.7895807122,2.6545,0.4239827297,256.6666667,2.409369471,156.0564744,0.608012238,24353.62319,4.386563582
Gyraulus sp,Ad,Free-living,Mollusc,,Hayes,January,24,1,86,800,2.903089987,2.6545,0.4239827297,333.3333333,2.522878745,232.372764,0.697118292,53997.10145,4.732370448
Haplotaxidae,Ad,Free-living,Annelid,,Hayes,September,24,0,1,2,0.3010299957,11.96481376,1.0779059429,0.833333333,-0.079181246,2.823298513,3.387958215,7.971014493,0.901513599
Haplotaxidae,Ad,Free-living,Annelid,,Hayes,January,24,0,4,7,0.84509804,11.96481376,1.0779059429,2.916666667,0.464886798,9.078961187,3.112786693,82.42753623,1.916072319
Haplotaxidae,Ad,Free-living,Annelid,,Tomahawk,September,24,0,13,34,1.531478917,11.96481376,1.0779059429,14.16666667,1.151267675,34.75587741,2.453356052,1207.971015,3.082056513
Harpactacoid sp,Ad,Free-living,Crustacean,,Tomahawk,May,16,0,2,2,0.3010299957,0.004623204,-2.335056943,0.25,-0.602059991,1,4,1,0
Harpactacoid sp,Ad,Free-living,Crustacean,,Tomahawk,September,16,0,1,2,0.3010299957,0.004623204,-2.335056943,0.25,-0.602059991,0.683130051,2.732520204,0.466666667,-0.330993219
