ASSESSID,TSYEAR,PT_AVAIL,SSB,R,TOTAL,F,CPUE,CATCH_LANDINGS
AFSC-CABEZNCAL-1916-2005-STANTON,1923,6,1106.84,627.275,1941.82,0.000534095,,1.04
AFSC-CABEZNCAL-1916-2005-STANTON,1924,6,1106.51,627.258,1941.36,0.00053422,,1.04
AFSC-CABEZNCAL-1916-2005-STANTON,1925,6,1106.23,627.186,1940.97,0.00131767,,2.56
AFSC-CABEZNCAL-1916-2005-STANTON,1926,6,1105.05,627.178,1939.24,0.000534804,,1.04
AFSC-CABEZNCAL-1916-2005-STANTON,1927,6,1104.92,627.16,1939.12,0.000710742,,1.38
AFSC-CABEZNCAL-1916-2005-STANTON,1928,6,1104.63,627.113,1938.73,0.0011498,,2.23
AFSC-CABEZNCAL-1916-2005-STANTON,1929,6,1103.86,627.035,1937.62,0.00157371,,3.05
AFSC-CABEZNCAL-1916-2005-STANTON,1930,6,1102.58,626.923,1935.97,0.00218432,,4.23
AFSC-CABEZNCAL-1916-2005-STANTON,1931,6,1100.76,626.775,1933.46,0.00284837,,5.51
AFSC-CABEZNCAL-1916-2005-STANTON,1932,6,1098.36,626.533,1930.07,0.00433386,,8.36
AFSC-CABEZNCAL-1916-2005-STANTON,1933,6,1094.46,626.273,1924.44,0.00488075,,9.39
AFSC-CABEZNCAL-1916-2005-STANTON,1934,6,1090.29,625.973,1918.5,0.00579013,,11.11
AFSC-CABEZNCAL-1916-2005-STANTON,1935,6,1085.5,625.562,1911.7,0.00768886,,14.7
AFSC-CABEZNCAL-1916-2005-STANTON,1936,6,1079.02,624.885,1902.4,0.0117563,,22.37
AFSC-CABEZNCAL-1916-2005-STANTON,1937,6,1068.49,624.526,1887.13,0.00839099,,15.83
AFSC-CABEZNCAL-1916-2005-STANTON,1938,6,1062.98,623.82,1879.7,0.0136384,,25.64
AFSC-CABEZNCAL-1916-2005-STANTON,1939,6,1052.3,623.611,1864.23,0.00805004,,15.01
