BY,Species,Stock,Region,Area,Spawners,Recruits,ID
1961,Chum,Fraser,BC South Coast,South,103.95,156.51,ChumFraserBC South CoastSouth
1962,Chum,Fraser,BC South Coast,South,130.36,315.79,ChumFraserBC South CoastSouth
1963,Chum,Fraser,BC South Coast,South,192.25,151.65,ChumFraserBC South CoastSouth
1964,Chum,Fraser,BC South Coast,South,246.74,1063.85,ChumFraserBC South CoastSouth
1965,Chum,Fraser,BC South Coast,South,129.48,491.33,ChumFraserBC South CoastSouth
1966,Chum,Fraser,BC South Coast,South,360.84,1009.66,ChumFraserBC South CoastSouth
1967,Chum,Fraser,BC South Coast,South,213.87,268.77,ChumFraserBC South CoastSouth
1968,Chum,Fraser,BC South Coast,South,670.53,1865.06,ChumFraserBC South CoastSouth
1969,Chum,Fraser,BC South Coast,South,309.25,1861.50,ChumFraserBC South CoastSouth
1970,Chum,Fraser,BC South Coast,South,284.28,435.79,ChumFraserBC South CoastSouth
1971,Chum,Fraser,BC South Coast,South,290.15,385.43,ChumFraserBC South CoastSouth
1972,Chum,Fraser,BC South Coast,South,423.29,1162.29,ChumFraserBC South CoastSouth
1973,Chum,Fraser,BC South Coast,South,267.11,736.70,ChumFraserBC South CoastSouth
1974,Chum,Fraser,BC South Coast,South,350.39,1446.85,ChumFraserBC South CoastSouth
1975,Chum,Fraser,BC South Coast,South,191.45,344.98,ChumFraserBC South CoastSouth
1976,Chum,Fraser,BC South Coast,South,340.54,902.61,ChumFraserBC South CoastSouth
1977,Chum,Fraser,BC South Coast,South,599.37,755.06,ChumFraserBC South CoastSouth
1978,Chum,Fraser,BC South Coast,South,359.07,641.22,ChumFraserBC South CoastSouth
1979,Chum,Fraser,BC South Coast,South,255.63,387.25,ChumFraserBC South CoastSouth
1980,Chum,Fraser,BC South Coast,South,312.14,329.02,ChumFraserBC South CoastSouth
1981,Chum,Fraser,BC South Coast,South,435.52,1339.00,ChumFraserBC South CoastSouth
1982,Chum,Fraser,BC South Coast,South,320.29,1799.07,ChumFraserBC South CoastSouth
1983,Chum,Fraser,BC South Coast,South,364.99,623.64,ChumFraserBC South CoastSouth
1984,Chum,Fraser,BC South Coast,South,433.27,987.08,ChumFraserBC South CoastSouth
1985,Chum,Fraser,BC South Coast,South,1295.26,695.23,ChumFraserBC South CoastSouth
1986,Chum,Fraser,BC South Coast,South,972.93,2040.92,ChumFraserBC South CoastSouth
1987,Chum,Fraser,BC South Coast,South,398.34,606.71,ChumFraserBC South CoastSouth
1988,Chum,Fraser,BC South Coast,South,585.32,1270.88,ChumFraserBC South CoastSouth
1989,Chum,Fraser,BC South Coast,South,585.55,1341.78,ChumFraserBC South CoastSouth
1990,Chum,Fraser,BC South Coast,South,988.88,1645.55,ChumFraserBC South CoastSouth
1991,Chum,Fraser,BC South Coast,South,859.27,1286.12,ChumFraserBC South CoastSouth
1992,Chum,Fraser,BC South Coast,South,741.62,988.59,ChumFraserBC South CoastSouth
1993,Chum,Fraser,BC South Coast,South,809.58,-1.00,ChumFraserBC South CoastSouth
1994,Chum,Fraser,BC South Coast,South,1498.44,-1.00,ChumFraserBC South CoastSouth
1959,Chum,Inner South Coast wo Fraser,BC South Coast,South,755.98,907.65,ChumInner South Coast wo FraserBC South CoastSouth
1960,Chum,Inner South Coast wo Fraser,BC South Coast,South,481.22,770.64,ChumInner South Coast wo FraserBC South CoastSouth
1961,Chum,Inner South Coast wo Fraser,BC South Coast,South,476.40,257.44,ChumInner South Coast wo FraserBC South CoastSouth
1962,Chum,Inner South Coast wo Fraser,BC South Coast,South,494.47,446.43,ChumInner South Coast wo FraserBC South CoastSouth
1963,Chum,Inner South Coast wo Fraser,BC South Coast,South,439.46,249.37,ChumInner South Coast wo FraserBC South CoastSouth
1964,Chum,Inner South Coast wo Fraser,BC South Coast,South,531.05,1288.06,ChumInner South Coast wo FraserBC South CoastSouth
1965,Chum,Inner South Coast wo Fraser,BC South Coast,South,197.71,634.18,ChumInner South Coast wo FraserBC South CoastSouth
1966,Chum,Inner South Coast wo Fraser,BC South Coast,South,519.98,1586.13,ChumInner South Coast wo FraserBC South CoastSouth
1967,Chum,Inner South Coast wo Fraser,BC South Coast,South,461.07,315.30,ChumInner South Coast wo FraserBC South CoastSouth
1968,Chum,Inner South Coast wo Fraser,BC South Coast,South,931.09,2821.66,ChumInner South Coast wo FraserBC South CoastSouth
1969,Chum,Inner South Coast wo Fraser,BC South Coast,South,604.09,2242.85,ChumInner South Coast wo FraserBC South CoastSouth
1970,Chum,Inner South Coast wo Fraser,BC South Coast,South,746.76,644.96,ChumInner South Coast wo FraserBC South CoastSouth
1971,Chum,Inner South Coast wo Fraser,BC South Coast,South,282.15,488.84,ChumInner South Coast wo FraserBC South CoastSouth
1972,Chum,Inner South Coast wo Fraser,BC South Coast,South,1342.23,1158.97,ChumInner South Coast wo FraserBC South CoastSouth
1973,Chum,Inner South Coast wo Fraser,BC South Coast,South,1161.30,784.47,ChumInner South Coast wo FraserBC South CoastSouth
1974,Chum,Inner South Coast wo Fraser,BC South Coast,South,796.98,1384.46,ChumInner South Coast wo FraserBC South CoastSouth
1975,Chum,Inner South Coast wo Fraser,BC South Coast,South,371.46,369.33,ChumInner South Coast wo FraserBC South CoastSouth
1976,Chum,Inner South Coast wo Fraser,BC South Coast,South,530.96,1134.50,ChumInner South Coast wo FraserBC South CoastSouth
1977,Chum,Inner South Coast wo Fraser,BC South Coast,South,754.43,1234.50,ChumInner South Coast wo FraserBC South CoastSouth
1978,Chum,Inner South Coast wo Fraser,BC South Coast,South,954.58,1675.69,ChumInner South Coast wo FraserBC South CoastSouth
1979,Chum,Inner South Coast wo Fraser,BC South Coast,South,372.00,853.73,ChumInner South Coast wo FraserBC South CoastSouth
1980,Chum,Inner South Coast wo Fraser,BC South Coast,South,962.02,684.06,ChumInner South Coast wo FraserBC South CoastSouth
1981,Chum,Inner South Coast wo Fraser,BC South Coast,South,817.60,1987.25,ChumInner South Coast wo FraserBC South CoastSouth
1982,Chum,Inner South Coast wo Fraser,BC South Coast,South,935.70,2426.02,ChumInner South Coast wo FraserBC South CoastSouth
1983,Chum,Inner South Coast wo Fraser,BC South Coast,South,659.85,1292.73,ChumInner South Coast wo FraserBC South CoastSouth
1984,Chum,Inner South Coast wo Fraser,BC South Coast,South,1021.67,1827.13,ChumInner South Coast wo FraserBC South CoastSouth
1985,Chum,Inner South Coast wo Fraser,BC South Coast,South,1307.90,654.73,ChumInner South Coast wo FraserBC South CoastSouth
1986,Chum,Inner South Coast wo Fraser,BC South Coast,South,851.09,2168.23,ChumInner South Coast wo FraserBC South CoastSouth
1987,Chum,Inner South Coast wo Fraser,BC South Coast,South,719.48,835.82,ChumInner South Coast wo FraserBC South CoastSouth
1988,Chum,Inner South Coast wo Fraser,BC South Coast,South,854.97,2117.98,ChumInner South Coast wo FraserBC South CoastSouth
1989,Chum,Inner South Coast wo Fraser,BC South Coast,South,289.25,2130.36,ChumInner South Coast wo FraserBC South CoastSouth
1990,Chum,Inner South Coast wo Fraser,BC South Coast,South,604.46,1654.57,ChumInner South Coast wo FraserBC South CoastSouth
1991,Chum,Inner South Coast wo Fraser,BC South Coast,South,939.00,707.00,ChumInner South Coast wo FraserBC South CoastSouth
1992,Chum,Inner South Coast wo Fraser,BC South Coast,South,1185.60,664.32,ChumInner South Coast wo FraserBC South CoastSouth
1993,Chum,Inner South Coast wo Fraser,BC South Coast,South,1063.34,-1.00,ChumInner South Coast wo FraserBC South CoastSouth
1994,Chum,Inner South Coast wo Fraser,BC South Coast,South,1002.30,-1.00,ChumInner South Coast wo FraserBC South CoastSouth
1960,Chum,Area 10,BC Central Coast,South,12.50,43.67,ChumArea 10BC Central CoastSouth
1961,Chum,Area 10,BC Central Coast,South,5.75,20.56,ChumArea 10BC Central CoastSouth
1962,Chum,Area 10,BC Central Coast,South,44.00,13.79,ChumArea 10BC Central CoastSouth
1963,Chum,Area 10,BC Central Coast,South,15.75,29.73,ChumArea 10BC Central CoastSouth
1964,Chum,Area 10,BC Central Coast,South,15.40,50.82,ChumArea 10BC Central CoastSouth
1965,Chum,Area 10,BC Central Coast,South,1.60,40.61,ChumArea 10BC Central CoastSouth
1966,Chum,Area 10,BC Central Coast,South,3.93,58.29,ChumArea 10BC Central CoastSouth
1967,Chum,Area 10,BC Central Coast,South,15.23,47.10,ChumArea 10BC Central CoastSouth
1968,Chum,Area 10,BC Central Coast,South,11.08,70.18,ChumArea 10BC Central CoastSouth
1969,Chum,Area 10,BC Central Coast,South,2.65,98.88,ChumArea 10BC Central CoastSouth
1970,Chum,Area 10,BC Central Coast,South,22.50,56.93,ChumArea 10BC Central CoastSouth
1971,Chum,Area 10,BC Central Coast,South,25.00,19.99,ChumArea 10BC Central CoastSouth
1972,Chum,Area 10,BC Central Coast,South,43.25,16.51,ChumArea 10BC Central CoastSouth
1973,Chum,Area 10,BC Central Coast,South,71.50,47.37,ChumArea 10BC Central CoastSouth
1974,Chum,Area 10,BC Central Coast,South,28.50,64.86,ChumArea 10BC Central CoastSouth
1975,Chum,Area 10,BC Central Coast,South,7.50,37.91,ChumArea 10BC Central CoastSouth
1976,Chum,Area 10,BC Central Coast,South,8.50,62.81,ChumArea 10BC Central CoastSouth
1977,Chum,Area 10,BC Central Coast,South,42.50,77.80,ChumArea 10BC Central CoastSouth
1978,Chum,Area 10,BC Central Coast,South,36.00,82.84,ChumArea 10BC Central CoastSouth
1979,Chum,Area 10,BC Central Coast,South,13.75,55.14,ChumArea 10BC Central CoastSouth
1980,Chum,Area 10,BC Central Coast,South,57.00,27.45,ChumArea 10BC Central CoastSouth
1981,Chum,Area 10,BC Central Coast,South,65.50,43.64,ChumArea 10BC Central CoastSouth
1982,Chum,Area 10,BC Central Coast,South,70.00,75.17,ChumArea 10BC Central CoastSouth
1983,Chum,Area 10,BC Central Coast,South,44.00,60.31,ChumArea 10BC Central CoastSouth
1984,Chum,Area 10,BC Central Coast,South,14.20,47.57,ChumArea 10BC Central CoastSouth
1985,Chum,Area 10,BC Central Coast,South,26.00,34.29,ChumArea 10BC Central CoastSouth
1986,Chum,Area 10,BC Central Coast,South,73.60,42.15,ChumArea 10BC Central CoastSouth
1987,Chum,Area 10,BC Central Coast,South,37.50,46.50,ChumArea 10BC Central CoastSouth
1988,Chum,Area 10,BC Central Coast,South,41.00,35.47,ChumArea 10BC Central CoastSouth
1989,Chum,Area 10,BC Central Coast,South,21.00,31.80,ChumArea 10BC Central CoastSouth
1990,Chum,Area 10,BC Central Coast,South,44.35,36.57,ChumArea 10BC Central CoastSouth
1991,Chum,Area 10,BC Central Coast,South,30.50,42.61,ChumArea 10BC Central CoastSouth
1992,Chum,Area 10,BC Central Coast,South,13.75,28.04,ChumArea 10BC Central CoastSouth
1993,Chum,Area 10,BC Central Coast,South,18.60,9.36,ChumArea 10BC Central CoastSouth
1994,Chum,Area 10,BC Central Coast,South,17.80,4.97,ChumArea 10BC Central CoastSouth
1995,Chum,Area 10,BC Central Coast,South,40.73,-1.00,ChumArea 10BC Central CoastSouth
1996,Chum,Area 10,BC Central Coast,South,23.15,-1.00,ChumArea 10BC Central CoastSouth
1960,Chum,Area 9,BC Central Coast,South,16.38,82.47,ChumArea 9BC Central CoastSouth
1961,Chum,Area 9,BC Central Coast,South,17.13,32.48,ChumArea 9BC Central CoastSouth
1962,Chum,Area 9,BC Central Coast,South,25.08,47.41,ChumArea 9BC Central CoastSouth
1963,Chum,Area 9,BC Central Coast,South,44.58,45.36,ChumArea 9BC Central CoastSouth
1964,Chum,Area 9,BC Central Coast,South,66.08,69.72,ChumArea 9BC Central CoastSouth
1965,Chum,Area 9,BC Central Coast,South,0.93,68.02,ChumArea 9BC Central CoastSouth
1966,Chum,Area 9,BC Central Coast,South,42.50,110.60,ChumArea 9BC Central CoastSouth
1967,Chum,Area 9,BC Central Coast,South,14.93,51.92,ChumArea 9BC Central CoastSouth
1968,Chum,Area 9,BC Central Coast,South,41.88,52.66,ChumArea 9BC Central CoastSouth
1969,Chum,Area 9,BC Central Coast,South,10.33,72.67,ChumArea 9BC Central CoastSouth
1970,Chum,Area 9,BC Central Coast,South,38.60,86.70,ChumArea 9BC Central CoastSouth
1971,Chum,Area 9,BC Central Coast,South,11.86,38.73,ChumArea 9BC Central CoastSouth
1972,Chum,Area 9,BC Central Coast,South,27.58,30.27,ChumArea 9BC Central CoastSouth
1973,Chum,Area 9,BC Central Coast,South,24.43,56.62,ChumArea 9BC Central CoastSouth
1974,Chum,Area 9,BC Central Coast,South,62.08,92.86,ChumArea 9BC Central CoastSouth
1975,Chum,Area 9,BC Central Coast,South,16.60,43.74,ChumArea 9BC Central CoastSouth
1976,Chum,Area 9,BC Central Coast,South,6.35,30.32,ChumArea 9BC Central CoastSouth
1977,Chum,Area 9,BC Central Coast,South,9.79,34.99,ChumArea 9BC Central CoastSouth
1978,Chum,Area 9,BC Central Coast,South,60.80,87.11,ChumArea 9BC Central CoastSouth
1979,Chum,Area 9,BC Central Coast,South,18.55,52.21,ChumArea 9BC Central CoastSouth
1980,Chum,Area 9,BC Central Coast,South,23.68,39.54,ChumArea 9BC Central CoastSouth
1981,Chum,Area 9,BC Central Coast,South,12.65,87.87,ChumArea 9BC Central CoastSouth
1982,Chum,Area 9,BC Central Coast,South,102.18,270.99,ChumArea 9BC Central CoastSouth
1983,Chum,Area 9,BC Central Coast,South,34.98,158.91,ChumArea 9BC Central CoastSouth
1984,Chum,Area 9,BC Central Coast,South,26.69,82.24,ChumArea 9BC Central CoastSouth
1985,Chum,Area 9,BC Central Coast,South,28.65,32.76,ChumArea 9BC Central CoastSouth
1986,Chum,Area 9,BC Central Coast,South,201.22,28.18,ChumArea 9BC Central CoastSouth
1987,Chum,Area 9,BC Central Coast,South,87.92,19.88,ChumArea 9BC Central CoastSouth
1988,Chum,Area 9,BC Central Coast,South,44.42,29.55,ChumArea 9BC Central CoastSouth
1989,Chum,Area 9,BC Central Coast,South,10.36,19.15,ChumArea 9BC Central CoastSouth
1990,Chum,Area 9,BC Central Coast,South,14.83,27.81,ChumArea 9BC Central CoastSouth
1991,Chum,Area 9,BC Central Coast,South,7.18,46.33,ChumArea 9BC Central CoastSouth
1992,Chum,Area 9,BC Central Coast,South,16.45,22.51,ChumArea 9BC Central CoastSouth
1993,Chum,Area 9,BC Central Coast,South,9.96,15.56,ChumArea 9BC Central CoastSouth
1994,Chum,Area 9,BC Central Coast,South,15.47,44.82,ChumArea 9BC Central CoastSouth
1995,Chum,Area 9,BC Central Coast,South,39.35,-1.00,ChumArea 9BC Central CoastSouth
1996,Chum,Area 9,BC Central Coast,South,16.40,-1.00,ChumArea 9BC Central CoastSouth
1960,Chum,Area 8,BC Central Coast,South,93.19,489.06,ChumArea 8BC Central CoastSouth
1961,Chum,Area 8,BC Central Coast,South,92.97,183.06,ChumArea 8BC Central CoastSouth
1962,Chum,Area 8,BC Central Coast,South,150.73,267.94,ChumArea 8BC Central CoastSouth
1963,Chum,Area 8,BC Central Coast,South,236.65,259.16,ChumArea 8BC Central CoastSouth
1964,Chum,Area 8,BC Central Coast,South,209.23,448.51,ChumArea 8BC Central CoastSouth
1965,Chum,Area 8,BC Central Coast,South,13.60,285.38,ChumArea 8BC Central CoastSouth
1966,Chum,Area 8,BC Central Coast,South,135.33,537.39,ChumArea 8BC Central CoastSouth
1967,Chum,Area 8,BC Central Coast,South,90.50,244.51,ChumArea 8BC Central CoastSouth
1968,Chum,Area 8,BC Central Coast,South,284.25,401.89,ChumArea 8BC Central CoastSouth
1969,Chum,Area 8,BC Central Coast,South,84.60,483.93,ChumArea 8BC Central CoastSouth
1970,Chum,Area 8,BC Central Coast,South,275.40,369.17,ChumArea 8BC Central CoastSouth
1971,Chum,Area 8,BC Central Coast,South,82.88,182.77,ChumArea 8BC Central CoastSouth
1972,Chum,Area 8,BC Central Coast,South,221.38,538.01,ChumArea 8BC Central CoastSouth
1973,Chum,Area 8,BC Central Coast,South,277.78,204.03,ChumArea 8BC Central CoastSouth
1974,Chum,Area 8,BC Central Coast,South,146.80,156.72,ChumArea 8BC Central CoastSouth
1975,Chum,Area 8,BC Central Coast,South,83.58,308.74,ChumArea 8BC Central CoastSouth
1976,Chum,Area 8,BC Central Coast,South,125.00,406.14,ChumArea 8BC Central CoastSouth
1977,Chum,Area 8,BC Central Coast,South,122.95,459.43,ChumArea 8BC Central CoastSouth
1978,Chum,Area 8,BC Central Coast,South,49.14,103.96,ChumArea 8BC Central CoastSouth
1979,Chum,Area 8,BC Central Coast,South,99.49,700.79,ChumArea 8BC Central CoastSouth
1980,Chum,Area 8,BC Central Coast,South,123.48,182.60,ChumArea 8BC Central CoastSouth
1981,Chum,Area 8,BC Central Coast,South,107.09,547.28,ChumArea 8BC Central CoastSouth
1982,Chum,Area 8,BC Central Coast,South,129.38,2070.71,ChumArea 8BC Central CoastSouth
1983,Chum,Area 8,BC Central Coast,South,155.05,759.05,ChumArea 8BC Central CoastSouth
1984,Chum,Area 8,BC Central Coast,South,132.26,943.24,ChumArea 8BC Central CoastSouth
1985,Chum,Area 8,BC Central Coast,South,220.87,295.37,ChumArea 8BC Central CoastSouth
1986,Chum,Area 8,BC Central Coast,South,266.22,1122.78,ChumArea 8BC Central CoastSouth
1987,Chum,Area 8,BC Central Coast,South,138.17,188.93,ChumArea 8BC Central CoastSouth
1988,Chum,Area 8,BC Central Coast,South,201.54,283.22,ChumArea 8BC Central CoastSouth
1989,Chum,Area 8,BC Central Coast,South,121.79,357.59,ChumArea 8BC Central CoastSouth
1990,Chum,Area 8,BC Central Coast,South,285.52,759.90,ChumArea 8BC Central CoastSouth
1991,Chum,Area 8,BC Central Coast,South,84.61,610.39,ChumArea 8BC Central CoastSouth
1992,Chum,Area 8,BC Central Coast,South,112.45,631.13,ChumArea 8BC Central CoastSouth
1993,Chum,Area 8,BC Central Coast,South,133.19,515.87,ChumArea 8BC Central CoastSouth
1994,Chum,Area 8,BC Central Coast,South,245.00,798.27,ChumArea 8BC Central CoastSouth
1995,Chum,Area 8,BC Central Coast,South,204.55,-1.00,ChumArea 8BC Central CoastSouth
1996,Chum,Area 8,BC Central Coast,South,219.34,-1.00,ChumArea 8BC Central CoastSouth
1965,Chum,Area 6,BC North Coast,South,119.65,275.02,ChumArea 6BC North CoastSouth
1966,Chum,Area 6,BC North Coast,South,372.23,312.87,ChumArea 6BC North CoastSouth
1967,Chum,Area 6,BC North Coast,South,342.85,142.90,ChumArea 6BC North CoastSouth
1968,Chum,Area 6,BC North Coast,South,407.45,815.26,ChumArea 6BC North CoastSouth
1969,Chum,Area 6,BC North Coast,South,78.06,336.28,ChumArea 6BC North CoastSouth
1970,Chum,Area 6,BC North Coast,South,105.65,405.01,ChumArea 6BC North CoastSouth
1971,Chum,Area 6,BC North Coast,South,90.30,77.18,ChumArea 6BC North CoastSouth
1972,Chum,Area 6,BC North Coast,South,271.60,80.80,ChumArea 6BC North CoastSouth
1973,Chum,Area 6,BC North Coast,South,278.75,151.51,ChumArea 6BC North CoastSouth
1974,Chum,Area 6,BC North Coast,South,258.64,401.91,ChumArea 6BC North CoastSouth
1975,Chum,Area 6,BC North Coast,South,79.30,77.19,ChumArea 6BC North CoastSouth
1976,Chum,Area 6,BC North Coast,South,67.34,352.31,ChumArea 6BC North CoastSouth
1977,Chum,Area 6,BC North Coast,South,85.81,221.85,ChumArea 6BC North CoastSouth
1978,Chum,Area 6,BC North Coast,South,185.26,220.32,ChumArea 6BC North CoastSouth
1979,Chum,Area 6,BC North Coast,South,87.81,167.86,ChumArea 6BC North CoastSouth
1980,Chum,Area 6,BC North Coast,South,82.86,123.54,ChumArea 6BC North CoastSouth
1981,Chum,Area 6,BC North Coast,South,93.41,475.53,ChumArea 6BC North CoastSouth
1982,Chum,Area 6,BC North Coast,South,135.78,461.18,ChumArea 6BC North CoastSouth
1983,Chum,Area 6,BC North Coast,South,44.08,143.67,ChumArea 6BC North CoastSouth
1984,Chum,Area 6,BC North Coast,South,119.25,1326.14,ChumArea 6BC North CoastSouth
1985,Chum,Area 6,BC North Coast,South,238.90,297.62,ChumArea 6BC North CoastSouth
1986,Chum,Area 6,BC North Coast,South,264.41,352.89,ChumArea 6BC North CoastSouth
1987,Chum,Area 6,BC North Coast,South,114.66,114.54,ChumArea 6BC North CoastSouth
1988,Chum,Area 6,BC North Coast,South,460.49,214.64,ChumArea 6BC North CoastSouth
1989,Chum,Area 6,BC North Coast,South,272.99,137.80,ChumArea 6BC North CoastSouth
1990,Chum,Area 6,BC North Coast,South,196.09,283.48,ChumArea 6BC North CoastSouth
1991,Chum,Area 6,BC North Coast,South,105.90,362.13,ChumArea 6BC North CoastSouth
1992,Chum,Area 6,BC North Coast,South,152.38,272.44,ChumArea 6BC North CoastSouth
1993,Chum,Area 6,BC North Coast,South,119.88,-1.00,ChumArea 6BC North CoastSouth
1994,Chum,Area 6,BC North Coast,South,249.63,-1.00,ChumArea 6BC North CoastSouth
1969,Chum,Kadashan,Southeast Alaska,South,15.45,43.82,ChumKadashanSoutheast AlaskaSouth
1970,Chum,Kadashan,Southeast Alaska,South,32.18,23.02,ChumKadashanSoutheast AlaskaSouth
1971,Chum,Kadashan,Southeast Alaska,South,64.93,9.65,ChumKadashanSoutheast AlaskaSouth
1972,Chum,Kadashan,Southeast Alaska,South,45.89,15.70,ChumKadashanSoutheast AlaskaSouth
1973,Chum,Kadashan,Southeast Alaska,South,35.34,19.69,ChumKadashanSoutheast AlaskaSouth
1974,Chum,Kadashan,Southeast Alaska,South,26.98,18.11,ChumKadashanSoutheast AlaskaSouth
1975,Chum,Kadashan,Southeast Alaska,South,5.55,28.71,ChumKadashanSoutheast AlaskaSouth
1976,Chum,Kadashan,Southeast Alaska,South,13.69,39.85,ChumKadashanSoutheast AlaskaSouth
1977,Chum,Kadashan,Southeast Alaska,South,19.59,40.85,ChumKadashanSoutheast AlaskaSouth
1978,Chum,Kadashan,Southeast Alaska,South,9.25,71.00,ChumKadashanSoutheast AlaskaSouth
1979,Chum,Kadashan,Southeast Alaska,South,10.52,126.14,ChumKadashanSoutheast AlaskaSouth
1980,Chum,Kadashan,Southeast Alaska,South,37.03,161.09,ChumKadashanSoutheast AlaskaSouth
1981,Chum,Kadashan,Southeast Alaska,South,16.65,89.24,ChumKadashanSoutheast AlaskaSouth
1982,Chum,Kadashan,Southeast Alaska,South,14.15,34.09,ChumKadashanSoutheast AlaskaSouth
1983,Chum,Kadashan,Southeast Alaska,South,36.06,107.09,ChumKadashanSoutheast AlaskaSouth
1984,Chum,Kadashan,Southeast Alaska,South,52.54,-1.00,ChumKadashanSoutheast AlaskaSouth
1985,Chum,Kadashan,Southeast Alaska,South,36.16,-1.00,ChumKadashanSoutheast AlaskaSouth
1972,Chum,Alsek,Yakutat,North,8.00,27.52,ChumAlsekYakutatNorth
1973,Chum,Alsek,Yakutat,North,10.00,23.59,ChumAlsekYakutatNorth
1974,Chum,Alsek,Yakutat,North,5.00,13.90,ChumAlsekYakutatNorth
1975,Chum,Alsek,Yakutat,North,2.00,30.11,ChumAlsekYakutatNorth
1976,Chum,Alsek,Yakutat,North,20.00,43.30,ChumAlsekYakutatNorth
1977,Chum,Alsek,Yakutat,North,20.00,17.72,ChumAlsekYakutatNorth
1978,Chum,Alsek,Yakutat,North,8.00,14.38,ChumAlsekYakutatNorth
1979,Chum,Alsek,Yakutat,North,3.00,30.98,ChumAlsekYakutatNorth
1980,Chum,Alsek,Yakutat,North,40.00,35.94,ChumAlsekYakutatNorth
1981,Chum,Alsek,Yakutat,North,10.00,28.01,ChumAlsekYakutatNorth
1982,Chum,Alsek,Yakutat,North,3.00,28.62,ChumAlsekYakutatNorth
1983,Chum,Alsek,Yakutat,North,10.00,23.52,ChumAlsekYakutatNorth
1984,Chum,Alsek,Yakutat,North,15.00,29.62,ChumAlsekYakutatNorth
1985,Chum,Alsek,Yakutat,North,7.00,18.35,ChumAlsekYakutatNorth
1986,Chum,Alsek,Yakutat,North,20.00,8.58,ChumAlsekYakutatNorth
1987,Chum,Alsek,Yakutat,North,0.60,-1.00,ChumAlsekYakutatNorth
1988,Chum,Alsek,Yakutat,North,5.00,-1.00,ChumAlsekYakutatNorth
1966,Chum,PWS,Prince William Sound,North,142.60,295.10,ChumPWSPrince William SoundNorth
1967,Chum,PWS,Prince William Sound,North,127.20,809.40,ChumPWSPrince William SoundNorth
1968,Chum,PWS,Prince William Sound,North,74.60,508.20,ChumPWSPrince William SoundNorth
1969,Chum,PWS,Prince William Sound,North,91.50,1044.90,ChumPWSPrince William SoundNorth
1970,Chum,PWS,Prince William Sound,North,61.60,96.30,ChumPWSPrince William SoundNorth
1971,Chum,PWS,Prince William Sound,North,109.80,177.50,ChumPWSPrince William SoundNorth
1972,Chum,PWS,Prince William Sound,North,269.20,381.40,ChumPWSPrince William SoundNorth
1973,Chum,PWS,Prince William Sound,North,491.30,957.70,ChumPWSPrince William SoundNorth
1974,Chum,PWS,Prince William Sound,North,166.90,495.70,ChumPWSPrince William SoundNorth
1975,Chum,PWS,Prince William Sound,North,47.30,356.60,ChumPWSPrince William SoundNorth
1976,Chum,PWS,Prince William Sound,North,80.50,347.80,ChumPWSPrince William SoundNorth
1977,Chum,PWS,Prince William Sound,North,159.50,2086.40,ChumPWSPrince William SoundNorth
1978,Chum,PWS,Prince William Sound,North,156.20,1963.40,ChumPWSPrince William SoundNorth
1979,Chum,PWS,Prince William Sound,North,80.30,1135.40,ChumPWSPrince William SoundNorth
1980,Chum,PWS,Prince William Sound,North,89.80,1354.90,ChumPWSPrince William SoundNorth
1981,Chum,PWS,Prince William Sound,North,134.10,1501.40,ChumPWSPrince William SoundNorth
1982,Chum,PWS,Prince William Sound,North,285.50,2232.80,ChumPWSPrince William SoundNorth
1983,Chum,PWS,Prince William Sound,North,347.50,2229.50,ChumPWSPrince William SoundNorth
1984,Chum,PWS,Prince William Sound,North,224.60,645.10,ChumPWSPrince William SoundNorth
1985,Chum,PWS,Prince William Sound,North,185.20,1411.00,ChumPWSPrince William SoundNorth
1986,Chum,PWS,Prince William Sound,North,218.70,341.50,ChumPWSPrince William SoundNorth
1987,Chum,PWS,Prince William Sound,North,319.00,165.20,ChumPWSPrince William SoundNorth
1988,Chum,PWS,Prince William Sound,North,483.80,171.10,ChumPWSPrince William SoundNorth
1989,Chum,PWS,Prince William Sound,North,243.20,345.90,ChumPWSPrince William SoundNorth
1990,Chum,PWS,Prince William Sound,North,299.00,87.80,ChumPWSPrince William SoundNorth
1991,Chum,PWS,Prince William Sound,North,133.40,197.50,ChumPWSPrince William SoundNorth
1992,Chum,PWS,Prince William Sound,North,63.10,501.40,ChumPWSPrince William SoundNorth
1993,Chum,PWS,Prince William Sound,North,127.00,270.10,ChumPWSPrince William SoundNorth
1994,Chum,PWS,Prince William Sound,North,99.10,-1.00,ChumPWSPrince William SoundNorth
1995,Chum,PWS,Prince William Sound,North,147.50,-1.00,ChumPWSPrince William SoundNorth
1964,Chum,Cook Outer D.,Cook Inlet,North,21.00,31.94,ChumCook Outer D.Cook InletNorth
1965,Chum,Cook Outer D.,Cook Inlet,North,7.50,26.81,ChumCook Outer D.Cook InletNorth
1966,Chum,Cook Outer D.,Cook Inlet,North,17.00,44.69,ChumCook Outer D.Cook InletNorth
1967,Chum,Cook Outer D.,Cook Inlet,North,13.00,16.12,ChumCook Outer D.Cook InletNorth
1968,Chum,Cook Outer D.,Cook Inlet,North,24.50,20.93,ChumCook Outer D.Cook InletNorth
1969,Chum,Cook Outer D.,Cook Inlet,North,11.50,41.83,ChumCook Outer D.Cook InletNorth
1970,Chum,Cook Outer D.,Cook Inlet,North,14.50,23.14,ChumCook Outer D.Cook InletNorth
