BY,Species,Stock,Region,Area,Spawners,Recruits,ID
1963,Sockeye,Bowron,Fraser,South,25.14,214.32,SockeyeBowronFraserSouth
1964,Sockeye,Bowron,Fraser,South,1.5,27.51,SockeyeBowronFraserSouth
1965,Sockeye,Bowron,Fraser,South,2.66,17.85,SockeyeBowronFraserSouth
1966,Sockeye,Bowron,Fraser,South,2.47,22.25,SockeyeBowronFraserSouth
1967,Sockeye,Bowron,Fraser,South,31.7,206.49,SockeyeBowronFraserSouth
1968,Sockeye,Bowron,Fraser,South,3.61,44.64,SockeyeBowronFraserSouth
1969,Sockeye,Bowron,Fraser,South,3.87,17.21,SockeyeBowronFraserSouth
1970,Sockeye,Bowron,Fraser,South,1.31,16.2,SockeyeBowronFraserSouth
1971,Sockeye,Bowron,Fraser,South,25.5,124.51,SockeyeBowronFraserSouth
1972,Sockeye,Bowron,Fraser,South,4.14,20.36,SockeyeBowronFraserSouth
1973,Sockeye,Bowron,Fraser,South,4.56,8.56,SockeyeBowronFraserSouth
1974,Sockeye,Bowron,Fraser,South,1.85,12.4,SockeyeBowronFraserSouth
1975,Sockeye,Bowron,Fraser,South,29.7,170.36,SockeyeBowronFraserSouth
1976,Sockeye,Bowron,Fraser,South,2.25,7.11,SockeyeBowronFraserSouth
1977,Sockeye,Bowron,Fraser,South,2.5,15.4,SockeyeBowronFraserSouth
1978,Sockeye,Bowron,Fraser,South,3.14,40.63,SockeyeBowronFraserSouth
1979,Sockeye,Bowron,Fraser,South,35,29.98,SockeyeBowronFraserSouth
1980,Sockeye,Bowron,Fraser,South,2.89,45.17,SockeyeBowronFraserSouth
1981,Sockeye,Bowron,Fraser,South,1.17,16.53,SockeyeBowronFraserSouth
1982,Sockeye,Bowron,Fraser,South,1.65,5.28,SockeyeBowronFraserSouth
1983,Sockeye,Bowron,Fraser,South,6.45,38.56,SockeyeBowronFraserSouth
1984,Sockeye,Bowron,Fraser,South,10.46,50.6,SockeyeBowronFraserSouth
1985,Sockeye,Bowron,Fraser,South,6.4,19.18,SockeyeBowronFraserSouth
1986,Sockeye,Bowron,Fraser,South,3.12,21.2,SockeyeBowronFraserSouth
1987,Sockeye,Bowron,Fraser,South,11.07,22.59,SockeyeBowronFraserSouth
1988,Sockeye,Bowron,Fraser,South,12.78,13.05,SockeyeBowronFraserSouth
1989,Sockeye,Bowron,Fraser,South,2.53,11.7,SockeyeBowronFraserSouth
1990,Sockeye,Bowron,Fraser,South,7.86,28.89,SockeyeBowronFraserSouth
1991,Sockeye,Bowron,Fraser,South,4.92,51.01,SockeyeBowronFraserSouth
1992,Sockeye,Bowron,Fraser,South,2.56,11.63,SockeyeBowronFraserSouth
1993,Sockeye,Bowron,Fraser,South,1.18,19.54,SockeyeBowronFraserSouth
1994,Sockeye,Bowron,Fraser,South,4.38,10.04,SockeyeBowronFraserSouth
1995,Sockeye,Bowron,Fraser,South,34.42,31.41,SockeyeBowronFraserSouth
1996,Sockeye,Bowron,Fraser,South,8.18,23.79,SockeyeBowronFraserSouth
1997,Sockeye,Bowron,Fraser,South,4.81,-1,SockeyeBowronFraserSouth
1998,Sockeye,Bowron,Fraser,South,4.75,-1,SockeyeBowronFraserSouth
1950,Sockeye,Chilko,Fraser,South,17.31,205.88,SockeyeChilkoFraserSouth
1951,Sockeye,Chilko,Fraser,South,98.32,752.33,SockeyeChilkoFraserSouth
1952,Sockeye,Chilko,Fraser,South,485.59,1858.48,SockeyeChilkoFraserSouth
1953,Sockeye,Chilko,Fraser,South,200.69,619.46,SockeyeChilkoFraserSouth
1954,Sockeye,Chilko,Fraser,South,34.3,712.75,SockeyeChilkoFraserSouth
1955,Sockeye,Chilko,Fraser,South,121.17,1513.28,SockeyeChilkoFraserSouth
1956,Sockeye,Chilko,Fraser,South,646.91,2435.67,SockeyeChilkoFraserSouth
1957,Sockeye,Chilko,Fraser,South,138.46,138.23,SockeyeChilkoFraserSouth
1958,Sockeye,Chilko,Fraser,South,120.1,433.37,SockeyeChilkoFraserSouth
1959,Sockeye,Chilko,Fraser,South,463.06,2212.58,SockeyeChilkoFraserSouth
1960,Sockeye,Chilko,Fraser,South,426.55,1053.34,SockeyeChilkoFraserSouth
1961,Sockeye,Chilko,Fraser,South,39.1,69.45,SockeyeChilkoFraserSouth
1962,Sockeye,Chilko,Fraser,South,77.71,985.56,SockeyeChilkoFraserSouth
