ID,Year,Value
17,1976,1059.853659
17,1977,290.7560976
17,1978,778.2682927
17,1979,1798.585366
17,1980,2038.463415
17,1981,21.02439024
17,1982,610.4146341
17,1983,753.9756098
17,1984,1080.853659
17,1985,831.3414634
17,1986,525.5365854
17,1987,753.7804878
17,1988,1084.390244
17,1989,2274.731707
17,1990,3152.585366
17,1991,1422.560976
17,1992,2656.878049
17,1993,1659.634146
17,1994,1969.97561
17,1995,2256.926829
17,1996,1895.439024
17,1997,800.195122
17,1998,2306.219512
17,1999,1227.609756
17,2000,786.902439
17,2001,1349.536585
17,2002,1159.878049
17,2003,1108.634146
17,2004,1389.487805
17,2005,533.097561
17,2006,1004.4
17,2007,809.232
17,2008,1114.981782
17,2009,577.4219327
18,1968,600
18,1969,300
18,1970,900
18,1971,800
18,1972,700
18,1973,700
18,1974,500
18,1975,550
18,1976,450
18,1977,220
18,1978,178
18,1979,1665
18,1980,1124
18,1981,439
18,1982,718.2291588
18,1983,1062.368094
18,1984,238.3979126
18,1985,100.7645023
18,1986,234.0854118
18,1987,67.88847755
18,1988,1223.515329
18,1989,1785.800179
18,1990,713.7852287
18,1991,744.4010362
18,1992,77.3406852
18,1993,1397.807274
18,1994,1459.55174
18,1995,604.7236681
18,1996,460.6314541
18,1997,314.4109056
18,1998,679.1811406
18,1999,1063.110945
18,2000,952.3945725
18,2001,753.7355266
18,2002,963.75
18,2003,515.3424658
18,2004,1440.988764
18,2005,1014.73
18,2006,457.59
18,2007,435.75
18,2008,1211
18,2009,236.7519717
19,1968,1056.863931
19,1969,746.4348498
19,1970,922.0665791
19,1971,1170.585476
19,1972,468.0585587
19,1973,690.2326964
19,1974,295.939464
19,1975,734.579708
19,1976,497.9159527
19,1977,626.5661945
19,1978,72.00900904
19,1979,549.2882336
19,1980,210.3189959
19,1981,51.37228084
19,1982,108.8916722
19,1983,442.1528787
19,1984,612.0765768
19,1985,1305.821908
19,1986,1160.486652
19,1987,927.335531
19,1988,2160
19,1989,577
19,1990,281.8889256
19,1991,754.7773569
19,1992,362.2404418
19,1993,707
19,1994,360
19,1995,613.8328941
19,1996,436.8839268
19,1997,198.4638542
19,1998,539
19,1999,383
19,2000,211.7671518
19,2001,105
19,2002,1369
19,2003,859
19,2004,749
19,2005,433.5487567
19,2006,491.5581814
19,2007,419.49
19,2008,544.05
19,2009,405.08
20,1968,507
20,1969,537.788144
20,1970,894.5762881
20,1971,880.0996122
20,1972,419.8369684
20,1973,622.310205
20,1974,267.7823911
20,1975,668.2885274
20,1976,168.856328
20,1977,450.4252499
20,1978,27.74577285
20,1979,454.213815
20,1980,175.2617308
20,1981,129.4679756
20,1982,92.72290305
20,1983,376.2272133
20,1984,525.2286139
20,1985,1129.676587
20,1986,29.16846127
20,1987,85.23823158
20,1988,90.8678338
20,1989,99.09442216
20,1990,27.72290305
20,1991,70.7127313
20,1992,70.15867923
20,1993,98.43900277
20,1994,347.2078537
20,1995,91.5233241
20,1996,32.73031555
20,1997,158.3955006
20,1998,214.5560776
20,1999,689.1001614
20,2000,287.150174
20,2001,226.9405696
20,2002,83.13833574
20,2003,159.9852632
20,2004,112.074287
20,2005,43.9
20,2006,25.63636364
20,2007,42.78571429
20,2008,108
20,2009,30.25454545
21,1986,41.65
21,1987,17.5
21,1988,58.625
21,1989,15.4
21,1990,54.25
21,1991,28.525
21,1992,26.775
21,1993,7.525
21,1994,11.375
21,1995,28.525
21,1996,32.025
21,1997,8.75
21,1998,19.25
21,1999,13.125
21,2000,38.15
21,2001,17
21,2002,115
21,2003,123
21,2004,193
21,2005,304
21,2006,293
21,2007,146
21,2008,86
