Major Popn Group,Population,Year,Spawners (total),Spawners (natural origin),Spawners (hatchery origin),Broodstock take,Harvest,Harvest rate,Prop of age-3,Prop of age-4,Prop of age-5,Prop of age-6,Brood year recruits,R per natural-origin spawner,R per total spawner
Middle Fork Salmon R,Camas,1988,0,0,0,0,0,0.14,0,0.18,0.82,0,87,NA,NA
Middle Fork Salmon R,Camas,1989,91,91,0,0,9,0.1,0,0.35,0.65,0,17,0.19,0.19
Middle Fork Salmon R,Camas,1990,9,9,0,0,1,0.12,0.01,0.47,0.53,0,2,0.22,0.22
Middle Fork Salmon R,Camas,1991,34,34,0,0,3,0.1,0.02,0.25,0.73,0,1,0.03,0.03
Middle Fork Salmon R,Camas,1992,22,22,0,0,1,0.08,0.02,0.57,0.42,0,12,0.55,0.55
Middle Fork Salmon R,Camas,1993,81,81,0,0,6,0.07,0,0.15,0.85,0,15,0.19,0.19
Middle Fork Salmon R,Camas,1994,6,6,0,0,0,0.1,0.04,0.36,0.6,0,52,8.67,8.67
Middle Fork Salmon R,Camas,1995,0,0,0,0,0,0.05,0.04,0.36,0.6,0,5,NA,NA
Middle Fork Salmon R,Camas,1996,3,3,0,0,0,0.05,0.04,0.66,0.31,0,220,73.33,73.33
Middle Fork Salmon R,Camas,1997,22,22,0,0,1,0.07,0.05,0.49,0.46,0,309,14.05,14.05
Middle Fork Salmon R,Camas,1998,50,50,0,0,2,0.06,0.04,0.89,0.07,0,353,7.06,7.06
Middle Fork Salmon R,Camas,1999,9,9,0,0,0,0.04,0.04,0.36,0.6,0,NA,NA,NA
Middle Fork Salmon R,Camas,2000,16,16,0,0,0,0.06,0,0.96,0.04,0,NA,NA,NA
Middle Fork Salmon R,Camas,2001,294,294,0,0,47,0.15,0.04,0.36,0.6,0,NA,NA,NA
Middle Fork Salmon R,Camas,2002,263,263,0,0,37,0.13,0.02,0.38,0.6,0,NA,NA,NA
Middle Fork Salmon R,Camas,2003,291,291,0,0,27,0.09,0.07,0.2,0.71,0.02,NA,NA,NA
Middle Fork Salmon R,Camas,2004,59,59,0,0,6,0.11,0.06,0.84,0.1,0,NA,NA,NA
Middle Fork Salmon R,Loon,1957,1058,1058,0,0,NA,NA,0.03,0.38,0.59,0,NA,NA,NA
Middle Fork Salmon R,Loon,1958,481,481,0,0,NA,NA,0.03,0.38,0.59,0,NA,NA,NA
Middle Fork Salmon R,Loon,1959,306,306,0,0,NA,NA,0.03,0.38,0.59,0,NA,NA,NA
Middle Fork Salmon R,Loon,1960,832,832,0,0,NA,NA,0.03,0.38,0.59,0,NA,NA,NA
Middle Fork Salmon R,Loon,1961,326,326,0,0,NA,NA,0.03,0.38,0.59,0,NA,NA,NA
Middle Fork Salmon R,Loon,1962,391,391,0,0,NA,NA,0.03,0.38,0.59,0,NA,NA,NA
Middle Fork Salmon R,Loon,1963,650,650,0,0,NA,NA,0.03,0.38,0.59,0,NA,NA,NA
Middle Fork Salmon R,Loon,1964,899,899,0,0,NA,NA,0.03,0.38,0.59,0,640,0.71,0.71
Middle Fork Salmon R,Loon,1965,413,413,0,0,NA,NA,0.03,0.38,0.59,0,405,0.98,0.98
Middle Fork Salmon R,Loon,1966,122,122,0,0,NA,NA,0.03,0.38,0.59,0,254,2.08,2.08
Middle Fork Salmon R,Loon,1967,408,408,0,0,526,0.58,0.08,0.23,0.69,0,578,1.42,1.42
Middle Fork Salmon R,Loon,1968,336,336,0,0,305,0.49,0.05,0.49,0.45,0,817,2.43,2.43
Middle Fork Salmon R,Loon,1969,274,274,0,0,229,0.47,0.04,0.46,0.5,0,183,0.67,0.67
Middle Fork Salmon R,Loon,1970,107,107,0,0,102,0.49,0.02,0.3,0.68,0,152,1.42,1.42
Middle Fork Salmon R,Loon,1971,197,197,0,0,115,0.39,0.07,0.39,0.55,0,61,0.31,0.31
Middle Fork Salmon R,Loon,1972,374,374,0,0,449,0.55,0.01,0.44,0.55,0,94,0.25,0.25
Middle Fork Salmon R,Loon,1973,194,194,0,0,299,0.61,0.01,0.12,0.88,0,255,1.31,1.31
Middle Fork Salmon R,Loon,1974,117,117,0,0,80,0.41,0.01,0.41,0.59,0,7,0.06,0.06
Middle Fork Salmon R,Loon,1975,80,80,0,0,0,0,0,0.17,0.83,0,13,0.16,0.16
Middle Fork Salmon R,Loon,1976,77,77,0,0,0,0.01,0.04,0.36,0.6,0,38,0.49,0.49
Middle Fork Salmon R,Loon,1977,154,154,0,0,85,0.36,0,0.72,0.28,0,88,0.57,0.57
Middle Fork Salmon R,Loon,1978,72,72,0,0,16,0.18,0,0.09,0.91,0,33,0.46,0.46
Middle Fork Salmon R,Loon,1979,0,0,0,0,0,0.04,0.03,0.15,0.83,0,15,NA,NA
Middle Fork Salmon R,Loon,1980,22,22,0,0,0,0.03,0.04,0.36,0.6,0,48,2.18,2.18
Middle Fork Salmon R,Loon,1981,75,75,0,0,5,0.07,0,0.63,0.38,0,66,0.88,0.88
Middle Fork Salmon R,Loon,1982,57,57,0,0,5,0.09,0.04,0.36,0.6,0,53,0.93,0.93
Middle Fork Salmon R,Loon,1983,17,17,0,0,1,0.09,0.04,0.36,0.6,0,38,2.24,2.24
Middle Fork Salmon R,Loon,1984,10,10,0,0,1,0.1,0.04,0.36,0.6,0,31,3.1,3.1
Middle Fork Salmon R,Loon,1985,70,70,0,0,5,0.07,0,0.42,0.58,0,15,0.21,0.21
Middle Fork Salmon R,Loon,1986,52,52,0,0,4,0.08,0.03,0.35,0.61,0,32,0.62,0.62
Middle Fork Salmon R,Loon,1987,57,57,0,0,4,0.08,0.01,0.43,0.56,0,35,0.61,0.61
Middle Fork Salmon R,Loon,1988,12,12,0,0,1,0.14,0,0.18,0.82,0,104,8.67,8.67
Middle Fork Salmon R,Loon,1989,40,40,0,0,4,0.1,0,0.35,0.65,0,14,0.35,0.35
Middle Fork Salmon R,Loon,1990,0,0,0,0,0,0.12,0.01,0.47,0.53,0,0,NA,NA
Middle Fork Salmon R,Loon,1991,40,40,0,0,4,0.1,0.02,0.25,0.73,0,0,0,0
Middle Fork Salmon R,Loon,1992,55,55,0,0,4,0.08,0.02,0.57,0.42,0,28,0.51,0.51
Middle Fork Salmon R,Loon,1993,77,77,0,0,5,0.07,0,0.15,0.85,0,36,0.47,0.47
Middle Fork Salmon R,Loon,1994,2,2,0,0,0,0.1,0.04,0.36,0.6,0,110,55,55
Middle Fork Salmon R,Loon,1995,0,0,0,0,0,0.05,0.04,0.36,0.6,0,10,NA,NA
Middle Fork Salmon R,Loon,1996,2,2,0,0,0,0.05,0.04,0.66,0.31,0,468,234,234
Middle Fork Salmon R,Loon,1997,55,55,0,0,4,0.07,0.05,0.49,0.46,0,627,11.4,11.4
Middle Fork Salmon R,Loon,1998,105,105,0,0,6,0.06,0.04,0.89,0.07,0,625,5.95,5.95
Middle Fork Salmon R,Loon,1999,15,15,0,0,0,0.04,0.04,0.36,0.6,0,133,8.87,8.87
Middle Fork Salmon R,Loon,2000,25,25,0,0,1,0.06,0,0.96,0.04,0,141,5.64,5.64
Middle Fork Salmon R,Loon,2001,635,635,0,0,103,0.15,0.04,0.36,0.6,0,40,0.06,0.06
Middle Fork Salmon R,Loon,2002,523,523,0,0,73,0.13,0.03,0.38,0.59,0,35,0.07,0.07
Middle Fork Salmon R,Loon,2003,476,476,0,0,44,0.09,0.07,0.2,0.71,0.02,NA,NA,NA
Middle Fork Salmon R,Loon,2004,100,100,0,0,11,0.11,0.06,0.84,0.1,0,NA,NA,NA
Middle Fork Salmon R,Loon,2005,42,42,0,0,3,0.08,0.07,0.66,0.26,0.01,NA,NA,NA
Middle Fork Salmon R,Loon,2006,19,19,0,0,1,0.08,0.04,0.79,0.17,0,NA,NA,NA
Middle Fork Salmon R,Loon,2007,28,28,0,0,2,0.09,0.08,0.35,0.54,0.02,NA,NA,NA
Middle Fork Salmon R,Loon,2008,30,30,0,0,5,0.16,0.06,0.66,0.27,0.01,NA,NA,NA
Middle Fork Salmon R,Marsh,1957,1192,1192,0,0,1922,0.62,0.02,0.32,0.65,0,2824,2.37,2.37
Middle Fork Salmon R,Marsh,1958,683,683,0,0,1952,0.75,0.02,0.32,0.65,0,3496,5.12,5.12
Middle Fork Salmon R,Marsh,1959,229,229,0,0,497,0.69,0.02,0.32,0.65,0,4460,19.48,19.48
Middle Fork Salmon R,Marsh,1960,779,779,0,0,1837,0.71,0.04,0.44,0.52,0,3214,4.13,4.13
Middle Fork Salmon R,Marsh,1961,1369,1369,0,0,1839,0.58,0.02,0.41,0.57,0,2251,1.64,1.64
Middle Fork Salmon R,Marsh,1962,888,888,0,0,1979,0.69,0.02,0.49,0.49,0,3849,4.33,4.33
Middle Fork Salmon R,Marsh,1963,968,968,0,0,2302,0.71,0.03,0.35,0.62,0,2001,2.07,2.07
Middle Fork Salmon R,Marsh,1964,1845,1845,0,0,2947,0.62,0.02,0.3,0.68,0,2120,1.15,1.15
Middle Fork Salmon R,Marsh,1965,1052,1052,0,0,1793,0.64,0.05,0.36,0.59,0,2016,1.92,1.92
Middle Fork Salmon R,Marsh,1966,1057,1057,0,0,1001,0.49,0.01,0.43,0.55,0,1451,1.37,1.37
Middle Fork Salmon R,Marsh,1967,1693,1693,0,0,2227,0.58,0.07,0.21,0.72,0,1657,0.98,0.98
Middle Fork Salmon R,Marsh,1968,1212,1212,0,0,1151,0.49,0.01,0.49,0.49,0,3561,2.94,2.94
Middle Fork Salmon R,Marsh,1969,577,577,0,0,499,0.47,0.01,0.35,0.64,0,1026,1.78,1.78
Middle Fork Salmon R,Marsh,1970,1187,1187,0,0,1156,0.49,0,0.31,0.69,0,846,0.71,0.71
Middle Fork Salmon R,Marsh,1971,732,732,0,0,439,0.39,0.05,0.35,0.61,0,170,0.23,0.23
Middle Fork Salmon R,Marsh,1972,812,812,0,0,971,0.55,0.02,0.29,0.7,0,164,0.2,0.2
Middle Fork Salmon R,Marsh,1973,1349,1349,0,0,2083,0.61,0.01,0.13,0.87,0,1054,0.78,0.78
Middle Fork Salmon R,Marsh,1974,546,546,0,0,377,0.41,0,0.41,0.59,0,191,0.35,0.35
Middle Fork Salmon R,Marsh,1975,522,522,0,0,1,0,0.01,0.17,0.83,0,34,0.07,0.07
Middle Fork Salmon R,Marsh,1976,126,126,0,0,0,0.01,0.02,0.32,0.65,0,76,0.6,0.6
Middle Fork Salmon R,Marsh,1977,255,255,0,0,140,0.36,0,0.7,0.3,0,182,0.71,0.71
Middle Fork Salmon R,Marsh,1978,703,703,0,0,159,0.18,0,0.1,0.9,0,97,0.14,0.14
Middle Fork Salmon R,Marsh,1979,122,122,0,0,5,0.04,0.02,0.15,0.83,0,145,1.19,1.19
Middle Fork Salmon R,Marsh,1980,24,24,0,0,0,0.03,0.02,0.32,0.65,0,231,9.63,9.63
Middle Fork Salmon R,Marsh,1981,164,164,0,0,11,0.07,0,0.62,0.38,0,302,1.84,1.84
Middle Fork Salmon R,Marsh,1982,104,104,0,0,9,0.09,0.02,0.32,0.65,0,336,3.23,3.23
Middle Fork Salmon R,Marsh,1983,86,86,0,0,8,0.09,0.02,0.32,0.65,0,777,9.03,9.03
Middle Fork Salmon R,Marsh,1984,157,157,0,0,17,0.1,0.02,0.32,0.65,0,147,0.94,0.94
Middle Fork Salmon R,Marsh,1985,280,280,0,0,20,0.07,0,0.42,0.58,0,134,0.48,0.48
Middle Fork Salmon R,Marsh,1986,262,262,0,0,22,0.08,0.03,0.35,0.61,0,163,0.62,0.62
Middle Fork Salmon R,Marsh,1987,391,391,0,0,33,0.08,0,0.43,0.56,0,98,0.25,0.25
Middle Fork Salmon R,Marsh,1988,564,564,0,0,88,0.14,0,0.1,0.9,0,397,0.7,0.7
Middle Fork Salmon R,Marsh,1989,115,115,0,0,12,0.1,0,0.35,0.65,0,64,0.56,0.56
Middle Fork Salmon R,Marsh,1990,149,149,0,0,20,0.12,0.01,0.47,0.53,0,4,0.03,0.03
Middle Fork Salmon R,Marsh,1991,104,104,0,0,11,0.1,0.02,0.25,0.73,0,8,0.08,0.08
Middle Fork Salmon R,Marsh,1992,169,169,0,0,14,0.08,0.03,0.6,0.37,0,111,0.66,0.66
Middle Fork Salmon R,Marsh,1993,313,313,0,0,23,0.07,0,0.15,0.85,0,308,0.98,0.98
Middle Fork Salmon R,Marsh,1994,13,13,0,0,1,0.1,0.02,0.32,0.65,0,13,1,1
Middle Fork Salmon R,Marsh,1995,0,0,0,0,0,0.05,0.02,0.32,0.65,0,8,NA,NA
Middle Fork Salmon R,Marsh,1996,25,25,0,0,1,0.05,0.03,0.66,0.31,0,129,5.16,5.16
Middle Fork Salmon R,Marsh,1997,162,162,0,0,11,0.07,0.05,0.49,0.46,0,843,5.2,5.2
Middle Fork Salmon R,Marsh,1998,235,235,0,0,13,0.06,0.02,0.02,0.9,0.06,1203,5.12,5.12
Middle Fork Salmon R,Marsh,1999,0,0,0,0,0,0.04,0.02,0.32,0.65,0,20,NA,NA
Middle Fork Salmon R,Marsh,2000,93,93,0,0,5,0.06,0,0.96,0.04,0,114,1.23,1.23
Middle Fork Salmon R,Marsh,2001,508,508,0,0,84,0.15,0.02,0.93,0.05,0,79,0.16,0.16
Middle Fork Salmon R,Marsh,2002,484,481,3,0,69,0.13,0,0.51,0.48,0.01,191,0.39,0.4
Middle Fork Salmon R,Marsh,2003,872,870,2,0,89,0.09,0.01,0.01,0.95,0.03,NA,NA,NA
Middle Fork Salmon R,Marsh,2004,93,93,0,0,10,0.11,0.06,0.84,0.1,0,NA,NA,NA
Middle Fork Salmon R,Marsh,2005,66,66,0,0,5,0.08,0.07,0.66,0.26,0.01,NA,NA,NA
Middle Fork Salmon R,Marsh,2006,126,126,0,0,10,0.08,0.04,0.79,0.17,0,NA,NA,NA
Middle Fork Salmon R,Marsh,2007,131,131,0,0,11,0.09,0.08,0.35,0.54,0.02,NA,NA,NA
Middle Fork Salmon R,Marsh,2008,177,177,0,0,31,0.16,0.06,0.66,0.27,0.01,NA,NA,NA
Middle Fork Salmon R,Sulphur,1957,693,693,0,0,1046,0.62,0.08,0.3,0.62,0,1313,1.89,1.89
Middle Fork Salmon R,Sulphur,1958,238,238,0,0,638,0.75,0.08,0.3,0.62,0,2135,8.97,8.97
Middle Fork Salmon R,Sulphur,1959,210,210,0,0,426,0.69,0.08,0.3,0.62,0,1012,4.82,4.82
Middle Fork Salmon R,Sulphur,1960,201,201,0,0,466,0.71,0.06,0.58,0.36,0,423,2.1,2.1
Middle Fork Salmon R,Sulphur,1961,608,608,0,0,786,0.58,0.06,0.42,0.52,0,1083,1.78,1.78
Middle Fork Salmon R,Sulphur,1962,430,430,0,0,946,0.69,0.03,0.47,0.5,0,1903,4.43,4.43
Middle Fork Salmon R,Sulphur,1963,644,644,0,0,1517,0.71,0.04,0.32,0.65,0,1084,1.68,1.68
Middle Fork Salmon R,Sulphur,1964,188,188,0,0,294,0.62,0.04,0.38,0.58,0,1683,8.95,8.95
Middle Fork Salmon R,Sulphur,1965,109,109,0,0,182,0.64,0.08,0.4,0.53,0,1541,14.14,14.14
Middle Fork Salmon R,Sulphur,1966,876,876,0,0,817,0.49,0.03,0.41,0.56,0,826,0.94,0.94
Middle Fork Salmon R,Sulphur,1967,827,827,0,0,1027,0.58,0.12,0.24,0.64,0,839,1.01,1.01
Middle Fork Salmon R,Sulphur,1968,876,876,0,0,716,0.49,0.15,0.48,0.37,0,1409,1.61,1.61
Middle Fork Salmon R,Sulphur,1969,852,852,0,0,663,0.47,0.11,0.43,0.46,0,475,0.56,0.56
Middle Fork Salmon R,Sulphur,1970,574,574,0,0,512,0.49,0.08,0.32,0.6,0,380,0.66,0.66
Middle Fork Salmon R,Sulphur,1971,358,358,0,0,209,0.39,0.07,0.39,0.55,0,108,0.3,0.3
Middle Fork Salmon R,Sulphur,1972,438,438,0,0,528,0.55,0.01,0.44,0.55,0,39,0.09,0.09
Middle Fork Salmon R,Sulphur,1973,481,481,0,0,746,0.61,0,0.23,0.77,0,481,1,1
Middle Fork Salmon R,Sulphur,1974,185,185,0,0,126,0.41,0.01,0.4,0.59,0,124,0.67,0.67
Middle Fork Salmon R,Sulphur,1975,309,309,0,0,0,0,0,0.17,0.83,0,21,0.07,0.07
Middle Fork Salmon R,Sulphur,1976,86,86,0,0,0,0.01,0.08,0.3,0.62,0,23,0.27,0.27
Middle Fork Salmon R,Sulphur,1977,31,31,0,0,17,0.36,0,0.71,0.28,0,41,1.32,1.32
Middle Fork Salmon R,Sulphur,1978,395,395,0,0,89,0.18,0,0.09,0.91,0,NA,NA,NA
Middle Fork Salmon R,Sulphur,1979,93,93,0,0,4,0.04,0.02,0.15,0.83,0,NA,NA,NA
Middle Fork Salmon R,Sulphur,1980,12,12,0,0,0,0.03,0.08,0.3,0.62,0,NA,NA,NA
Middle Fork Salmon R,Sulphur,1981,43,43,0,0,3,0.07,0,0.62,0.38,0,NA,NA,NA
Middle Fork Salmon R,Sulphur,1982,19,19,0,0,1,0.09,0.08,0.3,0.62,0,192,10.11,10.11
Middle Fork Salmon R,Sulphur,1983,49,49,0,0,4,0.09,0.08,0.3,0.62,0,345,7.04,7.04
South Fork Salmon R,Secesh,1957,870,870,0,0,615,0.44,0.09,0.62,0.29,0,820,0.94,0.94
South Fork Salmon R,Secesh,1958,986,986,0,0,1102,0.55,0.09,0.62,0.29,0,1330,1.35,1.35
South Fork Salmon R,Secesh,1959,630,630,0,0,696,0.55,0.09,0.62,0.29,0,924,1.47,1.47
South Fork Salmon R,Secesh,1960,1320,1320,0,0,2193,0.63,0.03,0.79,0.18,0,1004,0.76,0.76
South Fork Salmon R,Secesh,1961,502,502,0,0,508,0.62,0.37,0.44,0.19,0,373,0.74,0.74
South Fork Salmon R,Secesh,1962,740,740,0,0,550,0.48,0.18,0.61,0.21,0,612,0.83,0.83
South Fork Salmon R,Secesh,1963,418,418,0,0,390,0.58,0.31,0.48,0.21,0,469,1.12,1.12
South Fork Salmon R,Secesh,1964,661,661,0,0,388,0.38,0.06,0.65,0.29,0,327,0.49,0.49
South Fork Salmon R,Secesh,1965,356,356,0,0,43,0.16,0.35,0.47,0.18,0,339,0.95,0.95
South Fork Salmon R,Secesh,1966,511,511,0,0,23,0.05,0.18,0.59,0.23,0,375,0.73,0.73
South Fork Salmon R,Secesh,1967,511,511,0,0,73,0.14,0.15,0.58,0.27,0,477,0.93,0.93
South Fork Salmon R,Secesh,1968,211,211,0,0,18,0.1,0.19,0.66,0.15,0,409,1.94,1.94
South Fork Salmon R,Secesh,1969,379,379,0,0,42,0.13,0.22,0.57,0.21,0,156,0.41,0.41
South Fork Salmon R,Secesh,1970,231,231,0,0,35,0.16,0.19,0.6,0.21,0,65,0.28,0.28
South Fork Salmon R,Secesh,1971,349,349,0,0,77,0.19,0.08,0.63,0.29,0,52,0.15,0.15
South Fork Salmon R,Secesh,1972,324,324,0,0,53,0.14,0.02,0.57,0.42,0,47,0.15,0.15
South Fork Salmon R,Secesh,1973,250,250,0,0,31,0.11,0,0.43,0.57,0,388,1.55,1.55
South Fork Salmon R,Secesh,1974,74,74,0,0,0,0,0.03,0.59,0.38,0,95,1.28,1.28
South Fork Salmon R,Secesh,1975,48,48,0,0,0,0,0.05,0.49,0.46,0,36,0.75,0.75
South Fork Salmon R,Secesh,1976,63,63,0,0,0,0,0.16,0.41,0.43,0,148,2.35,2.35
South Fork Salmon R,Secesh,1977,106,106,0,0,3,0.03,0,0.82,0.18,0,189,1.78,1.78
South Fork Salmon R,Secesh,1978,333,333,0,0,11,0.03,0,0.16,0.84,0,447,1.34,1.34
South Fork Salmon R,Secesh,1979,72,72,0,0,2,0.04,0.19,0.26,0.55,0,153,2.13,2.13
South Fork Salmon R,Secesh,1980,72,72,0,0,3,0.04,0.05,0.73,0.23,0,241,3.35,3.35
South Fork Salmon R,Secesh,1981,194,194,0,0,11,0.06,0.06,0.55,0.39,0,372,1.92,1.92
South Fork Salmon R,Secesh,1982,238,238,0,0,13,0.06,0.09,0.62,0.29,0,344,1.45,1.45
South Fork Salmon R,Secesh,1983,358,358,0,0,10,0.03,0.01,0.23,0.76,0,490,1.37,1.37
South Fork Salmon R,Secesh,1984,156,156,0,0,4,0.03,0.09,0.62,0.29,0,183,1.17,1.17
South Fork Salmon R,Secesh,1985,384,384,0,0,23,0.06,0.01,0.65,0.34,0,242,0.63,0.63
South Fork Salmon R,Secesh,1986,306,306,0,0,15,0.05,0.03,0.68,0.29,0,265,0.87,0.87
South Fork Salmon R,Secesh,1987,321,321,0,0,17,0.05,0.04,0.6,0.36,0,166,0.52,0.52
South Fork Salmon R,Secesh,1988,412,397,15,0,18,0.05,0.06,0.27,0.67,0,486,1.18,1.22
South Fork Salmon R,Secesh,1989,260,251,9,0,1,0.01,0.09,0.69,0.23,0,221,0.85,0.88
South Fork Salmon R,Secesh,1990,146,141,5,0,1,0.01,0,0.69,0.31,0,48,0.33,0.34
South Fork Salmon R,Secesh,1991,298,287,11,0,3,0.01,0.06,0.44,0.5,0,83,0.28,0.29
South Fork Salmon R,Secesh,1992,333,321,12,0,2,0.01,0.02,0.85,0.12,0,251,0.75,0.78
South Fork Salmon R,Secesh,1993,346,334,12,0,7,0.02,0,0.43,0.57,0,317,0.92,0.95
South Fork Salmon R,Secesh,1994,101,97,4,0,1,0.01,0.01,0.3,0.7,0,20,0.2,0.21
South Fork Salmon R,Secesh,1995,71,68,3,0,1,0.03,0.13,0.59,0.28,0,168,2.37,2.47
South Fork Salmon R,Secesh,1996,177,177,0,0,5,0.03,0.02,0.75,0.23,0,532,3.01,3.01
South Fork Salmon R,Secesh,1997,349,340,9,0,4,0.01,0,0.71,0.28,0,1540,4.41,4.53
South Fork Salmon R,Secesh,1998,101,93,8,0,1,0.02,0.07,0.09,0.74,0.1,1033,10.23,11.11
South Fork Salmon R,Secesh,1999,176,172,4,0,2,0.02,0.09,0.84,0.07,0,1137,6.46,6.61
South Fork Salmon R,Secesh,2000,534,534,0,0,3,0.01,0.08,0.89,0.03,0,741,1.39,1.39
South Fork Salmon R,Secesh,2001,1395,1279,116,0,14,0.01,0.04,0.93,0.03,0,340,0.24,0.27
South Fork Salmon R,Secesh,2002,1078,992,86,0,26,0.03,0.09,0.62,0.29,0,222,0.21,0.22
South Fork Salmon R,Secesh,2003,1167,1149,18,0,61,0.06,0.09,0.62,0.29,0,NA,NA,NA
South Fork Salmon R,Secesh,2004,956,895,61,0,0,0,0.09,0.58,0.33,0,NA,NA,NA
South Fork Salmon R,Secesh,2005,346,337,9,0,6,0.02,0.09,0.58,0.33,0,NA,NA,NA
South Fork Salmon R,Secesh,2006,191,178,13,0,6,0.02,0.09,0.57,0.33,0,NA,NA,NA
South Fork Salmon R,Secesh,2007,276,248,28,0,14,0.02,0.09,0.57,0.33,0,NA,NA,NA
South Fork Salmon R,Secesh,2008,821,762,59,0,60,0.02,0.09,0.57,0.33,0,NA,NA,NA
South Fork Salmon R,South Fork Salmon R (East Fork),1958,282,282,0,0,318,0.55,0.09,0.58,0.34,0,1445,5.12,5.12
South Fork Salmon R,South Fork Salmon R (East Fork),1959,679,679,0,0,757,0.55,0.09,0.58,0.34,0,1292,1.9,1.9
South Fork Salmon R,South Fork Salmon R (East Fork),1960,1183,1183,0,0,1962,0.63,0.04,0.81,0.16,0,1169,0.99,0.99
South Fork Salmon R,South Fork Salmon R (East Fork),1961,478,478,0,0,577,0.62,0.25,0.4,0.35,0,333,0.7,0.7
South Fork Salmon R,South Fork Salmon R (East Fork),1962,760,760,0,0,556,0.48,0.17,0.62,0.2,0,635,0.84,0.84
South Fork Salmon R,South Fork Salmon R (East Fork),1963,684,684,0,0,722,0.58,0.2,0.54,0.26,0,558,0.82,0.82
South Fork Salmon R,South Fork Salmon R (East Fork),1964,797,797,0,0,442,0.38,0.09,0.66,0.25,0,467,0.59,0.59
South Fork Salmon R,South Fork Salmon R (East Fork),1965,298,298,0,0,37,0.16,0.32,0.46,0.21,0,738,2.48,2.48
South Fork Salmon R,South Fork Salmon R (East Fork),1966,284,284,0,0,12,0.05,0.19,0.58,0.23,0,450,1.58,1.58
South Fork Salmon R,South Fork Salmon R (East Fork),1967,737,737,0,0,111,0.14,0.08,0.5,0.42,0,645,0.88,0.88
South Fork Salmon R,South Fork Salmon R (East Fork),1968,328,328,0,0,28,0.1,0.17,0.61,0.22,0,892,2.72,2.72
South Fork Salmon R,South Fork Salmon R (East Fork),1969,702,702,0,0,90,0.13,0.09,0.69,0.23,0,435,0.62,0.62
South Fork Salmon R,South Fork Salmon R (East Fork),1970,335,335,0,0,52,0.16,0.14,0.52,0.34,0,311,0.93,0.93
South Fork Salmon R,South Fork Salmon R (East Fork),1971,471,471,0,0,103,0.19,0.06,0.63,0.31,0,159,0.34,0.34
South Fork Salmon R,South Fork Salmon R (East Fork),1972,566,566,0,0,90,0.14,0.02,0.63,0.35,0,102,0.18,0.18
South Fork Salmon R,South Fork Salmon R (East Fork),1973,698,698,0,0,83,0.11,0.04,0.4,0.57,0,420,0.6,0.6
South Fork Salmon R,South Fork Salmon R (East Fork),1974,275,275,0,0,0,0,0.02,0.58,0.4,0,122,0.44,0.44
South Fork Salmon R,South Fork Salmon R (East Fork),1975,178,178,0,0,0,0,0,0.31,0.68,0,40,0.22,0.22
South Fork Salmon R,South Fork Salmon R (East Fork),1976,176,176,0,0,0,0,0.06,0.39,0.56,0,111,0.63,0.63
South Fork Salmon R,South Fork Salmon R (East Fork),1977,208,208,0,0,6,0.03,0.02,0.82,0.16,0,103,0.5,0.5
South Fork Salmon R,South Fork Salmon R (East Fork),1978,291,291,0,0,10,0.03,0,0.22,0.78,0,191,0.66,0.66
South Fork Salmon R,South Fork Salmon R (East Fork),1979,92,92,0,0,3,0.04,0.19,0.26,0.55,0,59,0.64,0.64
South Fork Salmon R,South Fork Salmon R (East Fork),1980,62,62,0,0,2,0.04,0.04,0.71,0.25,0,106,1.71,1.71
South Fork Salmon R,South Fork Salmon R (East Fork),1981,116,116,0,0,6,0.06,0.06,0.55,0.39,0,194,1.67,1.67
South Fork Salmon R,South Fork Salmon R (East Fork),1982,95,95,0,0,5,0.06,0.09,0.58,0.34,0,140,1.47,1.47
South Fork Salmon R,South Fork Salmon R (East Fork),1983,162,162,0,0,4,0.03,0.03,0.21,0.76,0,390,2.41,2.41
South Fork Salmon R,South Fork Salmon R (East Fork),1984,44,44,0,0,1,0.03,0.09,0.58,0.34,0,141,3.2,3.2
South Fork Salmon R,South Fork Salmon R (East Fork),1985,194,194,0,0,11,0.06,0.02,0.61,0.37,0,91,0.47,0.47
South Fork Salmon R,South Fork Salmon R (East Fork),1986,136,136,0,0,6,0.05,0.03,0.51,0.46,0,204,1.5,1.5
South Fork Salmon R,South Fork Salmon R (East Fork),1987,185,185,0,0,10,0.05,0.02,0.65,0.33,0,91,0.49,0.49
South Fork Salmon R,South Fork Salmon R (East Fork),1988,353,340,13,0,16,0.05,0.04,0.24,0.73,0,414,1.17,1.22
South Fork Salmon R,South Fork Salmon R (East Fork),1989,109,105,4,0,0,0.01,0.03,0.47,0.5,0,146,1.34,1.39
South Fork Salmon R,South Fork Salmon R (East Fork),1990,143,138,5,0,1,0.01,0,0.79,0.2,0,22,0.15,0.16
South Fork Salmon R,South Fork Salmon R (East Fork),1991,164,158,6,0,2,0.01,0.06,0.37,0.57,0,25,0.15,0.16
South Fork Salmon R,South Fork Salmon R (East Fork),1992,196,189,7,0,1,0.01,0.04,0.78,0.17,0,98,0.5,0.52
South Fork Salmon R,South Fork Salmon R (East Fork),1993,365,352,13,0,10,0.02,0,0.29,0.71,0,303,0.83,0.86
South Fork Salmon R,South Fork Salmon R (East Fork),1994,51,49,2,0,0,0.01,0.01,0.3,0.7,0,16,0.31,0.33
