Major Popn Group,Population,Year,Spawners (total),Spawners (natural origin),Spawners (hatchery origin),Broodstock take,Harvest,Harvest rate,Prop of age-3,Prop of age-4,Prop of age-5,Prop of age-6,Brood year recruits,R per natural-origin spawner,R per total spawner
Grande Ronde R,Grand Ronde (Upper Main),1991,44,27,17,0,2,0.1,0.03,0.49,0.49,0,21,0.48,0.78
Grande Ronde R,Grand Ronde (Upper Main),1992,393,81,312,0,6,0.08,0,0.91,0.09,0,80,0.2,0.99
Grande Ronde R,Grand Ronde (Upper Main),1993,332,76,256,0,5,0.07,0,0.07,0.93,0,120,0.36,1.58
Grande Ronde R,Grand Ronde (Upper Main),1994,12,4,8,0,0,0.1,0,0.39,0.61,0,26,2.17,6.5
Grande Ronde R,Grand Ronde (Upper Main),1995,22,22,0,0,1,0.05,0.11,0.89,0,0,2,0.09,0.09
Grande Ronde R,Grand Ronde (Upper Main),1996,70,70,0,0,3,0.05,0.03,0.95,0.02,0,46,0.66,0.66
Grande Ronde R,Grand Ronde (Upper Main),1997,61,61,0,0,4,0.07,0.04,0.83,0.13,0,73,1.2,1.2
Grande Ronde R,Grand Ronde (Upper Main),1998,83,83,0,0,5,0.06,0,0.27,0.73,0,189,2.28,2.28
Grande Ronde R,Grand Ronde (Upper Main),1999,3,3,0,0,0,0.04,0,0.98,0.02,0,6,2,2
Grande Ronde R,Grand Ronde (Upper Main),2000,45,45,0,0,2,0.06,0.04,0.96,0,0,33,0.73,0.73
Grande Ronde R,Grand Ronde (Upper Main),2001,50,50,0,0,8,0.15,0,0.97,0.03,0,17,0.34,0.34
Grande Ronde R,Grand Ronde (Upper Main),2002,54,51,3,0,7,0.13,0,0.73,0.27,0,27,0.5,0.53
Grande Ronde R,Grand Ronde (Upper Main),2003,174,141,33,0,14,0.09,0.01,0.04,0.95,0,NA,NA,NA
Grande Ronde R,Grand Ronde (Upper Main),2004,589,30,559,0,3,0.11,0.12,0.88,0,0,NA,NA,NA
Grande Ronde R,Grand Ronde (Upper Main),2005,318,14,304,0,1,0.08,0.05,0.76,0.19,0,NA,NA,NA
Grande Ronde R,Grand Ronde (Upper Main),2006,55,27,28,0,2,0.08,0.11,0.82,0.07,0,NA,NA,NA
Grande Ronde R,Grand Ronde (Upper Main),2007,17,14,3,0,1,0.09,0.07,0.67,0.21,0,NA,NA,NA
Grande Ronde R,Grand Ronde (Upper Main),2008,418,63,355,0,8,0.16,0.32,0.64,0.05,0,NA,NA,NA
